Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/m2),Contribution (%),Total Activity Impact (kgCO2eq/m2)
"Synthetic PU Leather, DMF-based (solvent-based)",market group for tap water,0.23,kilogram,0.00019356276433349901,0.0005228259725454296,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for wastewater, average",-0.000383,cubic meter,0.00010783232031628707,0.0002912623093357841,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for wastewater, average",-0.000207,cubic meter,5.828013134587838e-05,0.00015741853272195118,37.02240793262808
"Synthetic PU Leather, DMF-free (water-borne)","market group for electricity, medium voltage",6.11,kilowatt hour,5.219125909561539,26.748151791661947,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market group for electricity, medium voltage",6.0,kilowatt hour,5.125164559307562,26.26659750408699,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market for polyether polyols, long chain",0.5755,kilogram,2.9399366581142248,15.067249449767928,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market group for electricity, medium voltage",2.055,kilowatt hour,1.7553688615628433,8.996309645149811,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market group for electricity, medium voltage",2.0,kilowatt hour,1.7083881864358523,8.755532501362321,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market for textile, nonwoven polyester",0.23,kilogram,1.447493234790302,7.4184393004665905,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for polyurethane adhesive,0.08,kilogram,0.4262680984985755,2.1846347453880224,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market for polyether polyols, long chain",0.05755,kilogram,0.2939936658114225,1.506724944976793,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for polydimethylsiloxane,0.0142,kilogram,0.13420178438155245,0.68778752640808,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for toluene diisocyanate,0.0173,kilogram,0.12237059602795158,0.6271523879880444,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market for polyether polyols, long chain",0.0142,kilogram,0.07254057436181058,0.3717722713930574,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for polydimethylsiloxane,0.0069,kilogram,0.0652107262135713,0.3342066149447715,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for kraft paper,0.07,kilogram,0.05511609989887038,0.2824714007298669,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for waste polyurethane,-0.058,kilogram,0.03785315771394557,0.19399838706159822,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for aniline,0.006,kilogram,0.03073433313281179,0.15751423171184206,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market for carboxymethyl cellulose, powder",0.0058,kilogram,0.023734580585731198,0.12164032353684016,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market for polyvinyl chloride, suspension polymerised",0.0069,kilogram,0.022881987316545706,0.11727076154966083,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for toluene diisocyanate,0.00173,kilogram,0.012237059602795163,0.06271523879880446,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for cellulose fibre,0.023,kilogram,0.00758519330165176,0.03887430679340012,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for waste polyurethane,-0.0058,kilogram,0.0037853157713945568,0.01939983870615982,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for aniline,0.0006,kilogram,0.0030734333132811775,0.0157514231711842,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market for carboxymethyl cellulose, powder",0.00058,kilogram,0.002373458058573122,0.012164032353684028,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for waste polyurethane,-0.00142,kilogram,0.0009267497233414264,0.004749615683232234,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market for cellulose fibre,0.0023,kilogram,0.0007585193301651769,0.003887430679340017,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market group for tap water,0.4717,kilogram,0.00039697198233092063,0.0020344914118610434,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market group for tap water,0.23,kilogram,0.00019356276433349901,0.0009920140443672645,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market group for tap water,0.1727,kilogram,0.00014534038869737066,0.0007448731541835933,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market for wastewater, average",-0.0004245,cubic meter,0.0001195165012382867,0.0006125250802770178,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market for wastewater, average",-0.000207,cubic meter,5.828013134587837e-05,0.0002986871416191821,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market for wastewater, average",-0.000155,cubic meter,4.3639711877348594e-05,0.00022365462295156178,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)",market group for tap water,0.01727,kilogram,1.4534038869737087e-05,7.448731541835942e-05,19.512099191797127
"Synthetic PU Leather, DMF-free (water-borne)","market for wastewater, average",-1.55e-05,cubic meter,4.363971187734846e-06,2.236546229515611e-05,19.512099191797127
